AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10
Newcastle upon Tyne,E08000021,0.319603677,0.31577911,0.329250206,0.328407628,0.332649885,0.326334971,0.317452324,0.32667211,0.319146259,0.334299161
North Tyneside,E08000022,0.228467287,0.237238196,0.239844597,0.238174946,0.242347623,0.225887607,0.237639645,0.24009934,0.238706152,0.237394288
South Tyneside,E08000023,0.255549802,0.26702138,0.260119583,0.257746532,0.261664667,0.260225263,0.273903012,0.262582488,0.261878379,0.259977852
Sunderland,E08000024,0.257469913,0.260388691,0.269059058,0.284549566,0.285261235,0.260645407,0.261588121,0.268514421,0.288450788,0.293533191
Birmingham,E08000025,0.210526947,0.218735221,0.219969506,0.202664717,0.210651795,0.215581368,0.219183681,0.213181779,0.203485445,0.210725303
Coventry,E08000026,0.229091896,0.235409927,0.235662531,0.234553401,0.229922165,0.230315041,0.23466827,0.232975253,0.236118368,0.225275792
Dudley ,E08000027,0.312288641,0.312061567,0.322602641,0.324841902,0.322056703,0.3083715,0.312821363,0.324676338,0.322830564,0.319608142
Sandwell ,E08000028,0.310799154,0.320929092,0.313730013,0.318533321,0.313595075,0.315163288,0.316451172,0.31307917,0.317466878,0.321480222
Solihull,E08000029,0.318755472,0.314623466,0.311340849,0.313577606,0.315410009,0.321720505,0.308104431,0.310777465,0.306021064,0.326031285
Walsall,E08000030,0.340739671,0.341289874,0.337393877,0.333023009,0.332549976,0.34281284,0.335724061,0.335249714,0.330682454,0.33379535
Wolverhampton,E08000031,0.338380333,0.335579892,0.335454302,0.335449625,0.339220882,0.339820522,0.334272412,0.332228592,0.342260688,0.335020451
Bradford ,E08000032,0.302706826,0.293507618,0.300483937,0.29974627,0.303044648,0.302021589,0.292638011,0.299389077,0.303629481,0.298372131
Calderdale,E08000033,0.147982962,0.152719397,0.156255065,0.162787846,0.163779889,0.147887181,0.157578439,0.154848117,0.162223176,0.16315404
Kirklees ,E08000034,0.236015138,0.238677253,0.22752219,0.228990962,0.221612956,0.234023515,0.233688621,0.226689649,0.227350823,0.219881242
Leeds ,E08000035,0.371827039,0.378716449,0.376959458,0.392545923,0.388138064,0.375900311,0.37811349,0.374187967,0.389642781,0.392116268
Wakefield,E08000036,0.308617824,0.304669645,0.30190883,0.294275409,0.287243588,0.307800866,0.298430331,0.298066208,0.290814262,0.287754433
Gateshead,E08000037,0.279701732,0.27948791,0.272433748,0.2760224,0.269622246,0.275172857,0.278767488,0.268561156,0.279727742,0.272740499
Barking and Dagenham,E09000002,0.198409621,0.204725847,0.20517867,0.218667868,0.220798882,0.203687013,0.210703937,0.208767189,0.21934034,0.218986948
Barnet,E09000003,0.242438783,0.24378595,0.239485131,0.246178904,0.244252767,0.241100446,0.242384548,0.243139322,0.242564194,0.241133674
Bexley,E09000004,0.351499786,0.351523468,0.359072013,0.365187687,0.378079974,0.349358253,0.358575821,0.360002854,0.372486907,0.371283692
Brent ,E09000005,0.293078797,0.296949778,0.287428379,0.287961927,0.287679652,0.294379738,0.294969952,0.288563784,0.29064433,0.29000949
Bromley,E09000006,0.3580531,0.367650391,0.369327407,0.357788733,0.351963047,0.370061174,0.363401363,0.370289012,0.35642797,0.362700209
Camden,E09000007,0.314615294,0.300467849,0.304890142,0.294944442,0.296776168,0.313355666,0.303490193,0.306485306,0.286311666,0.296324329
Croydon,E09000008,0.281212035,0.281786979,0.271830737,0.273913769,0.265336867,0.285087887,0.277940738,0.271788612,0.276508057,0.266348808
Ealing,E09000009,0.243487287,0.239484619,0.245603205,0.239919993,0.239069194,0.243991207,0.241930533,0.246362233,0.235144304,0.234354219
Enfield,E09000010,0.21163272,0.210496558,0.211000467,0.218034946,0.215232711,0.210804932,0.212517304,0.212030926,0.216737715,0.212844242
Greenwich,E09000011,0.269155648,0.271520506,0.280059636,0.276121785,0.283985345,0.268176092,0.270353735,0.279292359,0.277723043,0.283205203
Hackney ,E09000012,,,,,,,,,,
Hammersmith and Fulham ,E09000013,,,,,,,,,,
Haringey,E09000014,0.228467287,0.237238196,0.239844597,0.238174946,0.242347623,0.225887607,0.237639645,0.24009934,0.238706152,0.237394288
Harrow,E09000015,0.255549802,0.26702138,0.260119583,0.257746532,0.261664667,0.260225263,0.273903012,0.262582488,0.261878379,0.259977852
Havering,E09000016,0.257469913,0.260388691,0.269059058,0.284549566,0.285261235,0.260645407,0.261588121,0.268514421,0.288450788,0.293533191
Hillingdon,E09000017,0.210526947,0.218735221,0.219969506,0.202664717,0.210651795,0.215581368,0.219183681,0.213181779,0.203485445,0.210725303
Hounslow,E09000018,0.229091896,0.235409927,0.235662531,0.234553401,0.229922165,0.230315041,0.23466827,0.232975253,0.236118368,0.225275792
Islington,E09000019,0.312288641,0.312061567,0.322602641,0.324841902,0.322056703,0.3083715,0.312821363,0.324676338,0.322830564,0.319608142
Kensington and Chelsea,E09000020,0.310799154,0.320929092,0.313730013,0.318533321,0.313595075,0.315163288,0.316451172,0.31307917,0.317466878,0.321480222
Kingston upon Thames,E09000021,0.318755472,0.314623466,0.311340849,0.313577606,0.315410009,0.321720505,0.308104431,0.310777465,0.306021064,0.326031285
Lambeth ,E09000022,,,,,,,,,,
Lewisham ,E09000023,,,,,,,,,,
Merton,E09000024,0.302706826,0.293507618,0.300483937,0.29974627,0.303044648,0.302021589,0.292638011,0.299389077,0.303629481,0.298372131
Newham ,E09000025,,,,,,,,,,
Redbridge,E09000026,0.236015138,0.238677253,0.22752219,0.228990962,0.221612956,0.234023515,0.233688621,0.226689649,0.227350823,0.219881242
Richmond upon Thames,E09000027,0.371827039,0.378716449,0.376959458,0.392545923,0.388138064,0.375900311,0.37811349,0.374187967,0.389642781,0.392116268
Southwark,E09000028,0.308617824,0.304669645,0.30190883,0.294275409,0.287243588,0.307800866,0.298430331,0.298066208,0.290814262,0.287754433
Sutton,E09000029,0.279701732,0.27948791,0.272433748,0.2760224,0.269622246,0.275172857,0.278767488,0.268561156,0.279727742,0.272740499
Tower Hamlets,E09000030,0.198409621,0.204725847,0.20517867,0.218667868,0.220798882,0.203687013,0.210703937,0.208767189,0.21934034,0.218986948
Waltham Forest,E09000031,0.242438783,0.24378595,0.239485131,0.246178904,0.244252767,0.241100446,0.242384548,0.243139322,0.242564194,0.241133674
Wandsworth,E09000032,0.351499786,0.351523468,0.359072013,0.365187687,0.378079974,0.349358253,0.358575821,0.360002854,0.372486907,0.371283692
Westminster,E09000033,0.293078797,0.296949778,0.287428379,0.287961927,0.287679652,0.294379738,0.294969952,0.288563784,0.29064433,0.29000949
